,0,1,2,3,4
games,360,434,474,450,420
tackles,17.83,15.68,19.11,16.89,16.62
tackles_won,10.83,9.97,11.98,10.22,10.34
tackles_def_3rd,8.45,7.47,9.35,8.61,8.15
tackles_mid_3rd,7.27,6.39,7.53,6.24,6.44
tackles_att_3rd,2.11,1.82,2.22,2.04,2.03
dribble_tackles,5.76,5.13,6.35,5.76,5.32
dribbles_vs,16.34,14.92,17.54,16.06,15.28
dribble_tackles_pct,35.2,34.4,36.2,35.8,34.8
dribbled_past,10.59,9.78,11.19,10.30,9.96
pressures,143.35,130.57,133.04,131.78,135.03
pressure_regains,45.36,38.78,40.75,38.68,39.89
pressure_regain_pct,31.6,29.7,30.6,29.4,29.5
pressures_def_3rd,44.81,41.16,43.94,46.27,45.46
pressures_mid_3rd,65.31,60.01,60.42,55.98,59.46
pressures_att_3rd,33.23,29.40,28.69,29.53,30.11
blocks,17.18,15.19,14.94,16.08,15.73
blocked_shots,3.29,2.68,3.20,3.61,3.55
blocked_shots_saves,0.06,0.07,0.05,0.07,0.05
blocked_passes,13.89,12.50,11.74,12.47,12.18
interceptions,10.54,8.51,9.51,8.92,9.43
tackles_interceptions,28.38,24.11,28.62,25.80,26.01
clearances,21.78,21.64,20.59,21.80,19.32
errors,0.27,0.22,0.29,0.26,0.28
