,0,1,2,3,4
games,360,434,474,450,420
sca,19.22,16.60,18.65,18.87,19.46
sca_passes_live,13.75,11.93,12.91,13.68,14.14
sca_passes_dead,1.86,1.50,1.82,1.64,1.61
sca_dribbles,1.07,0.97,1.26,1.13,1.17
sca_shots,1.03,0.75,0.96,0.90,1.08
sca_fouled,1.11,1.11,1.21,1.10,1.04
sca_defense,0.40,0.34,0.49,0.41,0.42
gca,2.55,2.02,2.16,2.22,2.48
gca_passes_live,1.71,1.41,1.41,1.53,1.72
gca_passes_dead,0.19,0.12,0.15,0.17,0.14
gca_dribbles,0.14,0.14,0.17,0.14,0.18
gca_shots,0.22,0.14,0.18,0.16,0.20
gca_fouled,0.23,0.16,0.20,0.18,0.18
gca_defense,0.07,0.05,0.06,0.04,0.05
gca_og_for,0.00,0.00,0.00,0.00,0.00
