,0,1,2,3,4
games,360,434,474,450,420
goals_against_gk,1.55,1.26,1.38,1.36,1.52
pens_allowed,0.17,0.14,0.17,0.15,0.15
free_kick_goals_against_gk,0.02,0.02,0.02,0.02,0.02
corner_kick_goals_against_gk,0.18,0.14,0.16,0.20,0.20
own_goals_against_gk,0.04,0.04,0.04,0.05,0.04
psxg_gk,1.43,1.20,1.27,1.35,1.41
psnpxg_per_shot_on_target_against,0.30,0.31,0.29,0.30,0.31
psxg_net_gk,-0.07,-0.01,-0.06,+0.04,-0.07
passes_completed_launched_gk,6.96,7.41,5.90,6.13,5.81
passes_launched_gk,16.18,17.70,14.80,15.55,13.46
passes_pct_launched_gk,43.1,41.9,39.8,39.4,43.2
passes_gk,32.53,25.14,24.55,24.04,27.56
passes_throws_gk,4.98,3.75,4.59,4.11,4.33
pct_passes_launched_gk,38.8,50.8,41.8,46.2,38.5
passes_length_avg_gk,35.9,42.1,37.6,39.3,34.9
goal_kicks,7.20,7.44,7.52,6.85,6.61
pct_goal_kicks_launched,49.3,66.4,60.3,64.8,43.2
goal_kick_length_avg,41.6,50.8,47.4,49.3,36.2
crosses_gk,8.36,9.24,8.63,8.82,8.48
crosses_stopped_gk,0.52,0.72,0.60,0.67,0.55
crosses_stopped_pct_gk,6.2,7.8,6.9,7.6,6.5
def_actions_outside_pen_area_gk,0.75,0.70,0.63,0.56,0.60
avg_distance_def_actions_gk,14.7,14.8,14.4,14.4,14.1
