,0,1,2,3,4
games,360,434,474,450,420
passes_completed,404.4,374.3,413.5,408.8,411.8
passes,512.8,476.6,510.6,509.7,506.7
passes_pct,78.9,78.6,81.0,80.2,81.3
passes_total_distance,8203,7508,8144,7977,8066
passes_progressive_distance,2772,2540,2676,2545,2597
passes_completed_short,149.9,150.0,164.8,165.6,162.0
passes_short,174.3,172.0,186.8,188.0,183.7
passes_pct_short,86.0,87.2,88.2,88.1,88.2
passes_completed_medium,180.9,156.8,178.2,176.1,180.1
passes_medium,210.5,183.8,204.1,202.3,206.6
passes_pct_medium,85.9,85.3,87.3,87.0,87.2
passes_completed_long,66.7,60.6,62.9,59.8,61.8
passes_long,108.0,102.4,101.5,100.4,97.4
passes_pct_long,61.7,59.2,62.0,59.6,63.5
assists,1.09,0.83,0.88,0.92,1.04
xa,0.98,0.81,0.88,0.86,0.97
xa_net,+0.11,+0.02,-0.01,+0.06,+0.07
assisted_shots,9.0,7.5,8.5,8.7,9.0
passes_into_final_third,28.2,27.5,29.0,30.0,29.0
passes_into_penalty_area,7.9,7.4,6.9,8.4,8.4
crosses_into_penalty_area,2.2,2.1,2.1,2.0,2.0
progressive_passes,34.9,29.9,32.7,32.5,33.9
