,0,1,2,3,4
games,360,434,474,450,420
passes,512.8,476.6,510.6,509.7,506.7
passes_live,462.8,427.0,461.1,463.8,459.5
passes_dead,50.1,49.6,49.5,45.8,47.2
passes_free_kicks,14.0,14.7,13.5,12.1,15.0
through_balls,0.8,0.8,0.9,0.9,0.7
passes_pressure,69.6,64.1,60.0,62.8,60.9
passes_switches,14.5,15.8,15.1,13.7,13.7
crosses,11.4,12.3,11.4,12.1,11.5
corner_kicks,4.6,4.3,4.9,5.0,4.9
corner_kicks_in,1.7,1.4,1.9,1.9,1.7
corner_kicks_out,1.9,1.4,1.8,1.8,1.9
corner_kicks_straight,0.4,0.3,0.4,0.4,0.4
passes_ground,339.8,306.1,354.4,343.3,349.4
passes_low,69.3,65.6,62.9,64.9,64.7
passes_high,103.8,104.8,93.3,101.5,92.6
passes_left_foot,148.6,142.1,145.7,142.2,142.0
passes_right_foot,300.2,271.3,307.5,307.2,312.4
passes_head,21.3,21.4,17.6,20.9,16.9
throw_ins,21.6,20.8,21.2,19.5,17.8
passes_other_body,7.8,6.5,7.0,6.6,6.9
passes_completed,404.4,374.3,413.5,408.8,411.8
passes_offsides,1.8,1.8,1.2,1.5,1.7
passes_oob,8.6,9.5,8.9,8.0,6.9
passes_intercepted,9.9,8.0,9.1,8.6,9.0
passes_blocked,13.9,12.5,11.7,12.5,12.2
