,0,1,2,3,4
games,360,434,474,450,420
touches,631.5,583.3,625.7,621.1,617.1
touches_def_pen_area,70.7,63.0,62.3,65.4,69.9
touches_def_3rd,222.6,188.5,207.3,203.2,205.4
touches_mid_3rd,302.1,284.2,314.4,293.5,297.4
touches_att_3rd,146.2,144.1,144.3,162.4,153.1
touches_att_pen_area,22.5,20.2,20.6,23.5,23.4
touches_live_ball,583.1,535.3,577.7,576.5,571.6
dribbles_completed,9.8,9.1,10.4,9.6,9.3
dribbles,16.4,14.9,17.6,16.1,15.3
dribbles_completed_pct,59.6,60.7,59.4,60.0,60.8
players_dribbled_past,10.6,9.8,11.2,10.3,10.0
nutmegs,0.68,0.66,0.58,0.70,0.56
carries,392.2,358.7,398.0,387.3,395.5
carry_distance,2021.9,1822.1,2052.3,2027.2,2105.7
carry_progressive_distance,1078.1,975.5,1134.9,1103.4,1138.5
progressive_carries,39.7,38.7,43.7,43.8,43.1
carries_into_final_third,12.0,11.4,12.4,13.1,13.2
carries_into_penalty_area,3.8,3.4,3.4,4.1,4.1
miscontrols,13.1,11.4,12.6,11.2,11.8
dispossessed,12.1,10.6,12.8,11.1,11.3
