,0,1,2,3,4
games,360,434,474,450,420
goals,1.50,1.22,1.33,1.31,1.48
shots_total,12.12,10.44,11.68,11.72,12.26
shots_on_target,4.28,3.48,3.87,4.03,4.12
shots_on_target_pct,35.4,33.4,33.1,34.4,33.6
goals_per_shot,0.11,0.10,0.10,0.10,0.11
goals_per_shot_on_target,0.31,0.31,0.30,0.29,0.32
average_shot_distance,,,,,
shots_free_kicks,0.38,0.50,0.56,0.47,0.46
pens_made,0.17,0.14,0.17,0.15,0.15
pens_att,0.21,0.19,0.21,0.18,0.18
xg,1.43,1.21,1.35,1.29,1.43
npxg,1.27,1.07,1.19,1.15,1.29
npxg_per_shot,0.11,0.10,0.10,0.10,0.11
xg_net,+0.05,-0.01,-0.04,0.00,+0.03
npxg_net,+0.04,-0.01,-0.05,-0.01,+0.02
