,0,1,2,3,4,5,6,7,8,9
games,360,434,474,450,420,,,,,
goals,1.50,1.22,1.33,1.31,1.48,,,,,
assists,1.09,0.83,0.88,0.92,1.04,,,,,
pens_att,0.21,0.21,0.19,0.19,0.21,0.21,0.18,0.18,0.18,0.18
pens_made,0.17,0.14,0.17,0.15,0.15,,,,,
cards_yellow,1.90,2.28,2.02,1.54,2.33,,,,,
cards_red,0.05,0.11,0.13,0.07,0.10,,,,,
goals_pens,1.34,1.08,1.16,1.16,1.33,,,,,
goals_assists_pens,2.43,1.91,2.04,2.08,2.37,,,,,
xg,1.43,1.21,1.35,1.29,1.43,,,,,
npxg,1.27,1.07,1.19,1.15,1.29,,,,,
xa,0.98,0.81,0.88,0.86,0.97,,,,,
xg_xa,2.41,2.02,2.23,2.15,2.40,,,,,
npxg_xa,2.25,1.88,2.08,2.01,2.26,,,,,
