,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
player,Oliver Baumann,Roman Bürki,Koen Casteels,Finn Dahmen,Ralf Fährmann,Rafał Gikiewicz,Péter Gulácsi,Marwin Hitz,Timo Horn,Lukáš Hrádecký,Rune Jarstein,Loris Karius,Gregor Kobel,Michael Langer,Andreas Luthe,Florian Müller,Manuel Neuer,Stefan Ortega,Jiří Pavlenka,Philipp Pentke,Pavao Pervan,Frederik Rønnow,Alexander Schwolow,Tobias Sippel,Yann Sommer,Kevin Trapp,Robin Zentner,Ron-Robert Zieler
nationality,de GER,ch SUI,be BEL,de GER,de GER,pl POL,hu HUN,ch SUI,de GER,fi FIN,no NOR,de GER,ch SUI,at AUT,de GER,de GER,de GER,de GER,cz CZE,de GER,at AUT,dk DEN,de GER,de GER,ch SUI,de GER,de GER,de GER
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Hoffenheim,Dortmund,Wolfsburg,Mainz 05,Schalke 04,Augsburg,RB Leipzig,Dortmund,Köln,Leverkusen,Hertha BSC,Union Berlin,Stuttgart,Schalke 04,Union Berlin,Freiburg,Bayern Munich,Arminia,Werder Bremen,Hoffenheim,Wolfsburg,Schalke 04,Hertha BSC,M'Gladbach,M'Gladbach,Eint Frankfurt,Mainz 05,Köln
age,30-256,30-091,28-233,22-323,32-139,33-110,30-283,33-148,27-277,31-081,36-137,27-236,23-069,36-038,33-340,23-092,34-323,28-099,28-305,35-288,33-092,28-193,28-256,32-328,32-058,30-220,26-108,32-001
birth_year,1990,1990,1992,1998,1988,1987,1990,1987,1993,1989,1984,1993,1997,1985,1987,1997,1986,1992,1992,1985,1987,1992,1992,1988,1988,1990,1994,1989
games_gk,19,16,19,1,13,21,21,4,20,20,2,1,20,1,20,20,20,19,19,1,1,7,18,1,19,20,19,1
games_starts_gk,19,16,19,1,13,21,21,4,20,20,2,0,20,1,20,20,20,19,19,1,1,6,18,1,19,20,19,0
minutes_gk,"1,710","1,440","1,710",90,"1,125","1,890","1,890",360,"1,749","1,800",180,22,"1,800",90,"1,778","1,800","1,800","1,710","1,710",90,90,585,"1,620",90,"1,710","1,800","1,710",51
minutes_90s,19.0,16.0,19.0,1.0,12.5,21.0,21.0,4.0,19.4,20.0,2.0,0.2,20.0,1.0,19.8,20.0,20.0,19.0,19.0,1.0,1.0,6.5,18.0,1.0,19.0,20.0,19.0,0.6
goals_against_gk,36,26,18,5,35,35,18,3,32,21,4,0,34,3,25,33,26,32,27,1,1,14,32,1,30,29,35,1
goals_against_per90_gk,1.89,1.62,0.95,5.00,2.80,1.67,0.86,0.75,1.65,1.05,2.00,0.00,1.70,3.00,1.27,1.65,1.30,1.68,1.42,1.00,1.00,2.15,1.78,1.00,1.58,1.45,1.84,1.76
shots_on_target_against,87,72,62,11,83,104,52,9,85,55,11,1,98,9,74,97,83,99,78,2,7,45,69,2,65,79,99,2
saves,54,48,47,7,52,75,33,6,59,37,8,1,66,7,50,67,57,70,54,1,5,35,42,1,40,55,68,2
save_pct,63.2,66.7,74.2,63.6,60.2,71.2,67.3,66.7,69.4,63.6,72.7,100.0,68.4,66.7,68.9,68.0,69.9,69.7,67.9,50.0,85.7,77.8,60.9,50.0,61.5,68.4,68.7,100.0
wins_gk,6,7,10,0,1,6,13,3,5,10,0,0,6,0,7,8,15,5,5,0,0,0,4,0,8,9,3,0
draws_gk,3,2,7,0,2,4,5,0,6,5,0,0,7,0,8,6,3,2,7,1,1,3,5,1,7,9,4,0
losses_gk,10,7,2,1,10,11,3,1,9,5,2,0,7,1,5,6,2,12,7,0,0,3,9,0,4,2,12,0
clean_sheets,3,4,8,0,1,4,10,2,3,5,0,0,2,0,4,3,5,5,3,0,0,0,5,0,3,2,2,0
clean_sheets_pct,15.8,25.0,42.1,0.0,7.7,19.0,47.6,50.0,15.0,25.0,0.0,,10.0,0.0,20.0,15.0,25.0,26.3,15.8,0.0,0.0,0.0,27.8,0.0,15.8,10.0,10.5,
pens_att_gk,7,2,3,1,2,8,1,0,7,2,2,0,4,0,2,3,2,3,4,0,0,4,5,0,5,4,5,1
pens_allowed,4,2,2,1,2,5,1,0,6,1,1,0,3,0,2,2,1,2,2,0,0,4,5,0,5,4,4,1
pens_saved,2,0,1,0,0,2,0,0,1,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
pens_missed_gk,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
pens_save_pct,33.3,0.0,33.3,0.0,0.0,28.6,0.0,,14.3,50.0,50.0,,25.0,,0.0,33.3,0.0,33.3,50.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
