,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
player,Oliver Baumann,Roman Bürki,Koen Casteels,Finn Dahmen,Ralf Fährmann,Rafał Gikiewicz,Péter Gulácsi,Marwin Hitz,Timo Horn,Lukáš Hrádecký,Rune Jarstein,Loris Karius,Gregor Kobel,Michael Langer,Andreas Luthe,Florian Müller,Manuel Neuer,Stefan Ortega,Jiří Pavlenka,Philipp Pentke,Pavao Pervan,Frederik Rønnow,Alexander Schwolow,Tobias Sippel,Yann Sommer,Kevin Trapp,Robin Zentner,Ron-Robert Zieler
nationality,de GER,ch SUI,be BEL,de GER,de GER,pl POL,hu HUN,ch SUI,de GER,fi FIN,no NOR,de GER,ch SUI,at AUT,de GER,de GER,de GER,de GER,cz CZE,de GER,at AUT,dk DEN,de GER,de GER,ch SUI,de GER,de GER,de GER
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Hoffenheim,Dortmund,Wolfsburg,Mainz 05,Schalke 04,Augsburg,RB Leipzig,Dortmund,Köln,Leverkusen,Hertha BSC,Union Berlin,Stuttgart,Schalke 04,Union Berlin,Freiburg,Bayern Munich,Arminia,Werder Bremen,Hoffenheim,Wolfsburg,Schalke 04,Hertha BSC,M'Gladbach,M'Gladbach,Eint Frankfurt,Mainz 05,Köln
age,30-256,30-091,28-233,22-323,32-139,33-110,30-283,33-148,27-277,31-081,36-137,27-236,23-069,36-038,33-340,23-092,34-323,28-099,28-305,35-288,33-092,28-193,28-256,32-328,32-058,30-220,26-108,32-001
birth_year,1990,1990,1992,1998,1988,1987,1990,1987,1993,1989,1984,1993,1997,1985,1987,1997,1986,1992,1992,1985,1987,1992,1992,1988,1988,1990,1994,1989
minutes_90s,19.0,16.0,19.0,1.0,12.5,21.0,21.0,4.0,19.4,20.0,2.0,0.2,20.0,1.0,19.8,20.0,20.0,19.0,19.0,1.0,1.0,6.5,18.0,1.0,19.0,20.0,19.0,0.6
goals_against_gk,36,26,18,5,35,35,18,3,32,21,4,0,34,3,25,33,26,32,27,1,1,14,32,1,30,29,35,1
pens_allowed,4,2,2,1,2,5,1,0,6,1,1,0,3,0,2,2,1,2,2,0,0,4,5,0,5,4,4,1
free_kick_goals_against_gk,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0
