,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
player,Sergio Asenjo,Édgar Badía,Rubén Blanco,Yassine Bounou,Claudio Bravo,Dani Cárdenas,Alberto Cifuentes,Thibaut Courtois,Marko Dmitrović,Jaume Doménech,Aitor Fernández,Álvaro Fernández,Andrés Fernández,David Gil,Sergio Herrera,Ángel Jiménez,Jeremías Ledesma,Jordi Masip,Neto,Jan Oblak,Fernando Pacheco,Álex Remiro,Roberto,Joel Robles,Rubén,Rui Silva,Unai Simón,David Soria,Marc-André ter Stegen,Tomáš Vaclík,Koke Vegas,Iván Villar,Rubén Yáñez,Yoel
nationality,es ESP,es ESP,es ESP,ma MAR,cl CHI,es ESP,es ESP,be BEL,rs SRB,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,ar ARG,es ESP,br BRA,si SVN,es ESP,es ESP,es ESP,es ESP,es ESP,pt POR,es ESP,es ESP,de GER,cz CZE,es ESP,es ESP,es ESP,es ESP
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,"GK,MF",GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Villarreal,Elche,Celta Vigo,Sevilla,Betis,Levante,Cádiz,Real Madrid,Eibar,Valencia,Levante,Huesca,Huesca,Cádiz,Osasuna,Granada,Cádiz,Valladolid,Barcelona,Atlético Madrid,Alavés,Real Sociedad,Valladolid,Betis,Osasuna,Granada,Athletic Club,Getafe,Barcelona,Sevilla,Levante,Celta Vigo,Getafe,Eibar
age,31-230,29-001,25-203,29-314,37-306,23-322,41-260,28-278,29-020,30-100,29-286,22-306,34-058,27-033,27-253,18-236,28-000,32-041,31-209,28-037,28-271,25-326,35-003,30-241,36-236,27-006,23-247,27-315,28-289,31-321,25-139,23-219,27-124,32-169
birth_year,1989,1992,1995,1991,1983,1997,1979,1992,1992,1990,1991,1998,1986,1994,1993,2002,1993,1989,1989,1993,1992,1995,1986,1990,1984,1994,1997,1993,1992,1989,1995,1997,1993,1988
games_gk,22,21,16,18,9,1,2,22,22,22,19,11,11,1,20,1,19,16,6,20,22,22,6,13,3,21,21,13,15,3,1,7,9,1
games_starts_gk,22,21,16,18,9,1,2,22,22,22,19,11,11,1,19,1,19,16,6,20,22,22,6,13,3,21,21,13,15,3,1,7,9,0
minutes_gk,"1,980","1,890","1,440","1,620",810,90,180,"1,980","1,950","1,980","1,710",990,990,90,"1,788",90,"1,710","1,440",540,"1,800","1,980","1,980",540,"1,170",187,"1,890","1,890","1,170","1,350",270,90,630,810,30
minutes_90s,22.0,21.0,16.0,18.0,9.0,1.0,2.0,22.0,21.7,22.0,19.0,11.0,11.0,1.0,19.9,1.0,19.0,16.0,6.0,20.0,22.0,22.0,6.0,13.0,2.1,21.0,21.0,13.0,15.0,3.0,1.0,7.0,9.0,0.3
goals_against_gk,23,31,24,13,16,1,3,19,25,30,28,15,17,2,26,2,30,23,6,12,29,20,10,21,5,34,26,16,14,3,2,10,12,0
goals_against_per90_gk,1.05,1.48,1.50,0.72,1.78,1.00,1.50,0.86,1.15,1.36,1.47,1.36,1.55,2.00,1.31,2.00,1.58,1.44,1.00,0.60,1.32,0.91,1.67,1.62,2.41,1.62,1.24,1.23,0.93,1.00,2.00,1.43,1.33,0.00
shots_on_target_against,56,96,55,55,37,4,6,61,76,96,76,45,37,3,69,7,72,67,19,60,85,54,25,42,9,83,58,39,57,9,4,22,28,0
saves,39,67,32,45,23,3,3,48,51,70,49,30,22,1,48,6,45,46,14,50,57,36,17,26,3,48,36,27,44,6,2,15,17,0
save_pct,66.1,70.8,58.2,78.2,62.2,75.0,50.0,78.7,69.7,71.9,65.8,68.9,62.2,33.3,68.1,85.7,63.9,70.1,78.9,81.7,67.1,66.7,68.0,57.1,44.4,60.2,60.3,66.7,75.4,66.7,50.0,63.6,60.7,
wins_gk,8,3,6,11,4,0,1,14,4,5,6,2,0,0,5,0,5,4,2,16,5,9,0,5,0,8,7,3,11,2,0,1,3,0
draws_gk,12,9,5,3,1,1,0,4,8,9,8,3,7,0,5,0,6,6,2,3,7,8,2,2,2,6,4,4,2,0,0,3,2,0
losses_gk,2,9,5,4,4,0,1,4,10,8,5,6,4,1,9,1,8,6,2,1,10,5,4,6,1,7,10,6,2,1,1,3,4,0
clean_sheets,6,4,4,8,3,0,1,9,7,4,1,2,2,0,5,0,5,2,2,11,6,8,0,4,0,7,4,5,6,1,0,1,3,0
clean_sheets_pct,27.3,19.0,25.0,44.4,33.3,0.0,50.0,40.9,31.8,18.2,5.3,18.2,18.2,0.0,26.3,0.0,26.3,12.5,33.3,55.0,27.3,36.4,0.0,30.8,0.0,33.3,19.0,38.5,40.0,33.3,0.0,14.3,33.3,
pens_att_gk,4,6,1,3,3,0,0,8,4,4,2,1,3,0,7,2,4,3,2,1,1,3,3,4,0,4,4,3,0,0,0,2,1,0
pens_allowed,4,3,1,1,2,0,0,6,2,3,2,1,3,0,4,1,4,3,2,1,1,2,2,3,0,1,3,3,0,0,0,2,1,0
pens_saved,0,2,0,2,1,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0
pens_missed_gk,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pens_save_pct,0.0,40.0,0.0,66.7,33.3,,,25.0,33.3,25.0,0.0,0.0,0.0,,33.3,50.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,25.0,,75.0,25.0,0.0,,,,0.0,0.0,
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
