,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
player,Saturnin Allagbé,Walter Benítez,Paul Bernardoni,Dimitry Bertaud,Marcin Bułka,Marc-Aurèle Caillard,Sébastien Cibois,Benoît Costil,Yehvann Diouf,Matthieu Dreyer,Wuilker Faríñez,Alfred Gomis,Alfred Gomis,Bingourou Kamara,Eiji Kawashima,Alban Lafont,Gautier Larsonneur,Jean-Louis Leca,Benjamin Lecomte,Anthony Lopes,Mike Maignan,Radosław Majecki,Steve Mandanda,Vito Mannone,Edouard Mendy,Jessy Moulin,Paul Nardi,Keylor Navas,Jonas Omlin,Alexandre Oukidja,Yohann Pelé,Anthony Racioppi,Predrag Rajković,Baptiste Reynet,Sergio Rico,Romain Salin
nationality,bj BEN,ar ARG,fr FRA,fr FRA,pl POL,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,ve VEN,sn SEN,sn SEN,sn SEN,jp JPN,fr FRA,fr FRA,fr FRA,fr FRA,pt POR,fr FRA,pl POL,fr FRA,it ITA,sn SEN,fr FRA,fr FRA,cr CRC,ch SUI,dz ALG,fr FRA,ch SUI,rs SRB,fr FRA,es ESP,fr FRA
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Dijon,Nice,Angers,Montpellier,Paris S-G,Metz,Brest,Bordeaux,Reims,Lorient,Lens,Dijon,Rennes,Strasbourg,Strasbourg,Nantes,Brest,Lens,Monaco,Lyon,Lille,Monaco,Marseille,Monaco,Rennes,Saint-Étienne,Lorient,Paris S-G,Montpellier,Metz,Marseille,Dijon,Reims,Nîmes,Paris S-G,Rennes
age,27-083,27-331,23-301,22-252,21-132,26-277,22-348,33-225,21-089,31-330,22-364,27-161,27-161,24-115,37-330,22-021,23-356,35-145,29-293,30-135,25-077,21-089,35-322,32-348,28-349,35-031,26-271,34-060,27-034,32-209,38-101,22-044,25-105,30-108,27-165,36-199
birth_year,1993,1993,1997,1998,1999,1994,1998,1987,1999,1989,1998,1993,1993,1996,1983,1999,1997,1985,1991,1990,1995,1999,1985,1988,1992,1986,1994,1986,1994,1988,1982,1998,1995,1990,1993,1984
games_gk,4,23,24,6,1,2,1,24,2,5,1,5,7,8,16,24,23,24,14,24,24,1,21,9,1,24,18,16,20,23,1,15,23,23,8,15
games_starts_gk,4,23,24,4,1,1,1,24,1,5,0,5,7,8,16,24,23,24,14,24,24,1,21,9,1,24,18,16,20,23,1,15,23,23,7,15
minutes_gk,360,"2,070","2,160",475,90,91,90,"2,160",135,450,6,450,630,720,"1,440","2,160","2,070","2,154","1,260","2,160","2,160",90,"1,890",810,90,"2,160","1,620","1,395","1,683","2,069",90,"1,350","2,025","2,070",675,"1,350"
minutes_90s,4.0,23.0,24.0,5.3,1.0,1.0,1.0,24.0,1.5,5.0,0.1,5.0,7.0,8.0,16.0,24.0,23.0,23.9,14.0,24.0,24.0,1.0,21.0,9.0,1.0,24.0,18.0,15.5,18.7,23.0,1.0,15.0,22.5,23.0,7.5,15.0
goals_against_gk,8,31,37,8,1,1,1,30,1,7,1,10,9,14,25,39,43,32,20,20,15,1,24,14,1,36,37,7,36,22,2,18,31,51,6,14
goals_against_per90_gk,2.00,1.35,1.54,1.52,1.00,0.99,1.00,1.25,0.67,1.40,15.00,2.00,1.29,1.75,1.56,1.62,1.87,1.34,1.43,0.83,0.62,1.00,1.14,1.56,1.00,1.50,2.06,0.45,1.93,0.96,2.00,1.20,1.38,2.22,0.80,0.93
shots_on_target_against,20,104,90,21,3,6,4,93,5,18,0,24,25,31,69,106,112,81,39,70,66,2,68,30,1,87,87,42,83,81,5,69,87,122,28,54
saves,12,77,56,13,2,5,3,66,5,13,0,18,16,19,46,74,73,55,21,55,52,1,47,18,0,53,54,36,57,62,2,53,59,76,23,40
save_pct,60.0,76.0,62.2,66.7,66.7,83.3,75.0,71.0,100.0,72.2,,70.8,64.0,58.1,68.1,69.8,67.0,65.4,53.8,75.7,78.8,50.0,67.6,60.0,0.0,62.1,60.9,85.7,68.7,76.5,60.0,76.8,66.7,63.1,78.6,74.1
wins_gk,0,8,10,2,0,0,1,9,0,3,0,0,1,2,5,3,8,10,9,15,16,1,9,5,0,6,3,12,7,9,0,2,7,4,4,9
draws_gk,2,5,4,1,0,0,0,5,0,1,0,1,3,0,4,10,3,6,2,7,6,0,6,1,1,8,3,2,4,8,0,6,7,3,1,4
losses_gk,2,10,10,1,1,1,0,10,1,1,0,4,3,6,7,11,12,8,3,2,2,0,6,3,0,10,12,2,9,6,1,7,9,16,2,2
clean_sheets,1,7,5,2,0,0,0,11,0,1,0,0,1,2,5,3,4,7,3,9,13,0,5,2,0,7,2,11,1,7,0,3,6,4,5,5
clean_sheets_pct,25.0,30.4,20.8,50.0,0.0,0.0,0.0,45.8,0.0,20.0,,0.0,14.3,25.0,31.3,12.5,17.4,29.2,21.4,37.5,54.2,0.0,23.8,22.2,0.0,29.2,11.1,68.8,5.0,30.4,0.0,20.0,26.1,17.4,71.4,33.3
pens_att_gk,1,6,4,1,0,0,0,4,1,2,1,3,0,1,5,8,6,5,2,6,1,0,2,2,0,3,4,2,10,4,0,3,4,9,0,0
pens_allowed,0,6,3,1,0,0,0,3,1,2,1,3,0,1,3,7,6,4,2,3,1,0,2,2,0,3,3,1,10,3,0,2,2,6,0,0
pens_saved,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,0
pens_missed_gk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
pens_save_pct,,0.0,25.0,0.0,,,,25.0,0.0,0.0,0.0,0.0,,0.0,25.0,0.0,0.0,20.0,0.0,40.0,0.0,,0.0,0.0,,0.0,0.0,50.0,0.0,25.0,,33.3,50.0,25.0,,
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
