,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
player,Saturnin Allagbé,Walter Benítez,Paul Bernardoni,Dimitry Bertaud,Marcin Bułka,Marc-Aurèle Caillard,Sébastien Cibois,Benoît Costil,Yehvann Diouf,Matthieu Dreyer,Wuilker Faríñez,Alfred Gomis,Alfred Gomis,Bingourou Kamara,Eiji Kawashima,Alban Lafont,Gautier Larsonneur,Jean-Louis Leca,Benjamin Lecomte,Anthony Lopes,Mike Maignan,Radosław Majecki,Steve Mandanda,Vito Mannone,Edouard Mendy,Jessy Moulin,Paul Nardi,Keylor Navas,Jonas Omlin,Alexandre Oukidja,Yohann Pelé,Anthony Racioppi,Predrag Rajković,Baptiste Reynet,Sergio Rico,Romain Salin
nationality,bj BEN,ar ARG,fr FRA,fr FRA,pl POL,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,ve VEN,sn SEN,sn SEN,sn SEN,jp JPN,fr FRA,fr FRA,fr FRA,fr FRA,pt POR,fr FRA,pl POL,fr FRA,it ITA,sn SEN,fr FRA,fr FRA,cr CRC,ch SUI,dz ALG,fr FRA,ch SUI,rs SRB,fr FRA,es ESP,fr FRA
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Dijon,Nice,Angers,Montpellier,Paris S-G,Metz,Brest,Bordeaux,Reims,Lorient,Lens,Dijon,Rennes,Strasbourg,Strasbourg,Nantes,Brest,Lens,Monaco,Lyon,Lille,Monaco,Marseille,Monaco,Rennes,Saint-Étienne,Lorient,Paris S-G,Montpellier,Metz,Marseille,Dijon,Reims,Nîmes,Paris S-G,Rennes
age,27-083,27-331,23-301,22-252,21-132,26-277,22-348,33-225,21-089,31-330,22-364,27-161,27-161,24-115,37-330,22-021,23-356,35-145,29-293,30-135,25-077,21-089,35-322,32-348,28-349,35-031,26-271,34-060,27-034,32-209,38-101,22-044,25-105,30-108,27-165,36-199
birth_year,1993,1993,1997,1998,1999,1994,1998,1987,1999,1989,1998,1993,1993,1996,1983,1999,1997,1985,1991,1990,1995,1999,1985,1988,1992,1986,1994,1986,1994,1988,1982,1998,1995,1990,1993,1984
minutes_90s,4.0,23.0,24.0,5.3,1.0,1.0,1.0,24.0,1.5,5.0,0.1,5.0,7.0,8.0,16.0,24.0,23.0,23.9,14.0,24.0,24.0,1.0,21.0,9.0,1.0,24.0,18.0,15.5,18.7,23.0,1.0,15.0,22.5,23.0,7.5,15.0
goals_against_gk,8,31,37,8,1,1,1,30,1,7,1,10,9,14,25,39,43,32,20,20,15,1,24,14,1,36,37,7,36,22,2,18,31,51,6,14
pens_allowed,0,6,3,1,0,0,0,3,1,2,1,3,0,1,3,7,6,4,2,3,1,0,2,2,0,3,3,1,10,3,0,2,2,6,0,0
free_kick_goals_against_gk,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
corner_kick_goals_against_gk,0,5,3,1,0,0,0,3,0,1,0,2,0,1,2,6,6,3,0,0,7,0,5,1,0,5,3,2,4,3,0,3,5,2,0,4
own_goals_against_gk,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,0,2,1,0,1,0,0,2,0,0,2,1,0,1,1,0,1,0
psxg_gk,6.1,30.6,31.2,7.7,1.3,1.8,1.3,26.2,1.0,7.2,1.0,9.9,9.1,9.7,23.8,37.3,35.8,27.4,14.1,20.1,16.7,0.3,22.6,11.9,0.6,32.8,26.1,11.9,34.4,24.3,2.4,23.0,25.3,44.2,7.3,15.2
psnpxg_per_shot_on_target_against,0.30,0.24,0.31,0.32,0.45,0.29,0.32,0.25,0.03,0.32,,0.30,0.37,0.28,0.32,0.30,0.28,0.29,0.32,0.25,0.24,0.16,0.31,0.34,0.56,0.34,0.27,0.24,0.31,0.27,0.47,0.31,0.26,0.31,0.26,0.28
psxg_net_gk,-1.9,-0.4,-4.8,-0.3,+0.3,+0.8,+0.3,-1.8,0.0,+0.2,0.0,+0.9,+0.1,-3.3,-1.2,-0.7,-6.2,-2.6,-5.9,+2.1,+2.7,-0.7,-0.4,-2.1,-0.4,-1.2,-9.9,+4.9,+0.4,+4.3,+0.4,+6.0,-4.7,-6.8,+2.3,+1.2
psxg_net_per90_gk,-0.48,-0.02,-0.20,-0.06,+0.32,+0.75,+0.28,-0.07,+0.01,+0.04,-0.17,+0.17,+0.01,-0.41,-0.07,-0.03,-0.27,-0.11,-0.42,+0.09,+0.11,-0.68,-0.02,-0.23,-0.44,-0.05,-0.55,+0.32,+0.02,+0.19,+0.35,+0.40,-0.21,-0.29,+0.31,+0.08
passes_completed_launched_gk,20,69,110,67,2,7,4,211,5,21,1,28,25,63,127,133,144,156,80,136,115,4,119,55,7,119,103,54,128,182,0,74,148,171,9,99
passes_launched_gk,53,217,319,113,5,15,9,458,16,67,2,94,60,142,270,388,301,385,196,252,325,15,368,138,12,295,285,98,294,438,0,236,437,464,21,227
passes_pct_launched_gk,37.7,31.8,34.5,59.3,40.0,46.7,44.4,46.1,31.3,31.3,50.0,29.8,41.7,44.4,47.0,34.3,47.8,40.5,40.8,54.0,35.4,26.7,32.3,39.9,58.3,40.3,36.1,55.1,43.5,41.6,,31.4,33.9,36.9,42.9,43.6
passes_gk,103,586,428,136,28,23,16,669,40,73,1,121,157,191,347,573,669,562,411,574,545,25,587,226,23,579,362,295,463,511,22,346,621,769,135,421
passes_throws_gk,20,102,118,21,9,9,1,100,13,16,0,28,36,43,58,100,116,86,59,105,121,2,108,26,2,124,93,61,105,125,7,68,97,86,35,76
pct_passes_launched_gk,40.8,27.1,47.0,57.4,17.9,47.8,43.8,49.2,27.5,49.3,100.0,43.0,26.1,48.7,52.2,45.4,36.2,55.2,37.7,32.2,41.3,36.0,42.6,41.2,43.5,33.9,48.3,25.4,43.8,55.0,0.0,41.3,48.1,44.6,11.1,35.9
passes_length_avg_gk,35.1,30.1,40.2,43.1,25.5,39.2,37.4,39.8,32.2,40.1,103.0,39.4,29.9,39.3,41.7,40.3,36.3,42.8,34.9,32.6,38.4,32.5,37.9,36.4,37.9,35.6,39.8,30.0,38.4,44.2,20.5,36.7,41.8,40.0,24.1,34.0
goal_kicks,27,197,165,47,2,6,3,179,12,41,1,67,33,56,123,174,181,154,86,157,150,12,169,61,6,164,146,100,145,212,3,133,205,174,49,123
pct_goal_kicks_launched,40.7,29.4,71.5,74.5,0.0,66.7,66.7,72.1,41.7,75.6,100.0,62.7,57.6,87.5,72.4,73.6,32.6,48.7,47.7,42.7,66.7,50.0,69.8,73.8,33.3,60.4,75.3,23.0,62.8,74.1,0.0,69.9,67.3,69.5,12.2,61.8
goal_kick_length_avg,34.9,31.6,52.5,54.9,21.5,55.0,52.7,51.1,39.0,49.0,63.0,49.6,46.9,60.0,54.4,53.7,34.9,40.6,42.7,37.2,55.6,39.9,50.8,54.0,35.2,47.4,56.9,28.5,49.7,54.7,14.7,50.8,51.2,51.1,25.0,47.5
crosses_gk,35,224,214,44,7,9,6,210,11,34,2,78,42,58,140,212,219,164,101,187,180,7,231,63,6,181,149,124,160,229,8,154,231,215,44,113
crosses_stopped_gk,0,15,16,5,0,0,0,11,0,3,0,8,3,3,8,16,19,12,4,11,14,0,19,3,1,10,6,4,15,31,1,11,13,12,1,9
crosses_stopped_pct_gk,0.0,6.7,7.5,11.4,0.0,0.0,0.0,5.2,0.0,8.8,0.0,10.3,7.1,5.2,5.7,7.5,8.7,7.3,4.0,5.9,7.8,0.0,8.2,4.8,16.7,5.5,4.0,3.2,9.4,13.5,12.5,7.1,5.6,5.6,2.3,8.0
def_actions_outside_pen_area_gk,5,9,8,1,2,0,0,12,1,1,0,3,6,1,4,16,8,15,20,23,17,1,12,6,0,6,13,4,8,26,1,7,13,17,5,29
def_actions_outside_pen_area_per90_gk,1.25,0.39,0.33,0.19,2.00,0.00,0.00,0.50,0.67,0.20,0.00,0.60,0.86,0.13,0.25,0.67,0.35,0.63,1.43,0.96,0.71,1.00,0.57,0.67,0.00,0.25,0.72,0.26,0.43,1.13,1.00,0.47,0.58,0.74,0.67,1.93
