,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
player,Adrián,Rúnar Alex Rúnarsson,Alisson,Alphonse Areola,Kepa Arrizabalaga,David Button,Willy Caballero,Kiko Casilla,Karl Darlow,Ederson,Łukasz Fabiański,Fraser Forster,David de Gea,Vicente Guaita,Dean Henderson,Sam Johnstone,Caoimhin Kelleher,Bernd Leno,Hugo Lloris,Emiliano Martínez,Alex McCarthy,Edouard Mendy,Illan Meslier,Robin Olsen,Rui Patrício,Bailey Peacock-Farrell,Jordan Pickford,Nick Pope,Aaron Ramsdale,Darren Randolph,Marek Rodák,Mathew Ryan,Mathew Ryan,Robert Sánchez,Kasper Schmeichel,Zack Steffen
nationality,es ESP,is ISL,br BRA,fr FRA,es ESP,eng ENG,ar ARG,es ESP,eng ENG,br BRA,pl POL,eng ENG,es ESP,es ESP,eng ENG,eng ENG,ie IRL,de GER,fr FRA,ar ARG,eng ENG,sn SEN,fr FRA,se SWE,pt POR,nir NIR,eng ENG,eng ENG,eng ENG,ie IRL,sk SVK,au AUS,au AUS,es ESP,dk DEN,us USA
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Liverpool,Arsenal,Liverpool,Fulham,Chelsea,West Brom,Chelsea,Leeds United,Newcastle Utd,Manchester City,West Ham,Southampton,Manchester Utd,Crystal Palace,Manchester Utd,West Brom,Liverpool,Arsenal,Tottenham,Aston Villa,Southampton,Chelsea,Leeds United,Everton,Wolves,Burnley,Everton,Burnley,Sheffield Utd,West Ham,Fulham,Arsenal,Brighton,Brighton,Leicester City,Manchester City
age,34-041,25-361,28-134,27-352,26-133,31-352,39-138,34-134,30-128,27-180,35-301,32-333,30-098,34-034,23-338,27-325,22-082,28-346,34-049,28-164,31-072,28-349,20-348,31-036,32-364,24-107,26-343,28-300,22-275,33-277,24-062,28-311,28-311,23-087,34-100,25-317
birth_year,1987,1995,1992,1993,1994,1989,1981,1986,1990,1993,1985,1988,1990,1987,1997,1993,1998,1992,1986,1992,1989,1992,2000,1990,1988,1996,1994,1992,1998,1987,1996,1992,1992,1997,1986,1995
games_gk,2,1,19,21,3,1,1,1,23,21,22,1,21,23,3,22,2,22,22,21,21,19,21,4,23,1,17,21,23,1,1,1,11,12,23,1
games_starts_gk,2,0,19,21,3,1,1,1,23,21,22,1,21,23,2,22,2,22,22,21,21,19,21,4,23,1,17,21,23,1,1,1,11,12,23,1
minutes_gk,180,16,"1,710","1,890",270,90,90,90,"2,070","1,890","1,980",90,"1,845","2,070",225,"1,980",180,"1,961","1,980","1,890","1,890","1,710","1,890",360,"2,070",90,"1,530","1,890","2,070",90,90,90,990,"1,080","2,070",90
minutes_90s,2.0,0.2,19.0,21.0,3.0,1.0,1.0,1.0,23.0,21.0,22.0,1.0,20.5,23.0,2.5,22.0,2.0,21.8,22.0,21.0,21.0,19.0,21.0,4.0,23.0,1.0,17.0,21.0,23.0,1.0,1.0,1.0,11.0,12.0,23.0,1.0
goals_against_gk,9,0,19,28,6,2,3,1,38,13,28,0,27,39,3,52,1,22,22,24,37,15,37,6,31,5,22,24,37,0,3,1,19,11,25,1
goals_against_per90_gk,4.50,0.00,1.00,1.33,2.00,2.00,3.00,1.00,1.65,0.62,1.27,0.00,1.32,1.70,1.20,2.36,0.50,1.01,1.00,1.14,1.76,0.79,1.76,1.50,1.35,5.00,1.29,1.14,1.61,0.00,3.00,1.00,1.73,0.92,1.09,1.00
shots_on_target_against,16,2,54,100,14,7,3,2,109,41,81,1,62,109,14,137,7,73,82,96,92,46,112,17,71,7,70,104,111,2,5,8,30,40,87,2
saves,7,2,38,76,8,5,0,1,74,33,55,1,40,71,11,91,6,55,67,72,58,34,81,12,47,2,47,83,74,2,2,7,16,32,61,1
save_pct,43.8,100.0,70.4,77.0,57.1,71.4,0.0,50.0,67.0,80.5,67.9,100.0,62.9,67.0,78.6,65.0,85.7,71.2,79.3,77.1,63.0,71.7,72.3,70.6,64.8,28.6,70.0,79.8,67.6,100.0,40.0,87.5,50.0,77.5,72.4,50.0
wins_gk,0,0,10,2,1,1,0,0,7,14,10,1,11,8,2,1,1,9,10,11,7,10,10,2,7,0,9,6,3,1,0,0,2,3,13,1
draws_gk,1,0,6,9,1,0,1,0,4,5,6,0,6,5,0,6,0,4,6,2,5,4,2,1,6,0,3,5,2,0,0,0,4,6,4,0
losses_gk,1,0,3,10,1,0,0,1,12,2,6,0,4,10,0,15,1,9,6,8,9,5,9,1,10,1,5,10,18,0,1,1,5,3,6,0
clean_sheets,0,0,5,5,0,0,0,0,4,13,7,1,8,4,0,2,1,8,7,11,7,10,7,1,6,0,3,7,1,1,0,0,2,5,9,0
clean_sheets_pct,0.0,,26.3,23.8,0.0,0.0,0.0,0.0,17.4,61.9,31.8,100.0,38.1,17.4,0.0,9.1,50.0,36.4,31.8,52.4,33.3,52.6,33.3,25.0,26.1,0.0,17.6,33.3,4.3,100.0,0.0,0.0,18.2,41.7,39.1,0.0
pens_att_gk,0,0,7,5,0,0,0,0,3,5,5,0,4,4,0,5,0,2,5,3,3,2,6,1,7,0,2,3,2,0,0,0,4,3,1,0
pens_allowed,0,0,3,5,0,0,0,0,2,5,2,0,4,3,0,4,0,1,5,2,3,2,6,1,6,0,1,3,1,0,0,0,4,2,1,0
pens_saved,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pens_missed_gk,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
pens_save_pct,,,25.0,0.0,,,,,33.3,0.0,50.0,,0.0,25.0,,20.0,,50.0,0.0,33.3,0.0,0.0,0.0,0.0,14.3,,0.0,0.0,0.0,,,,0.0,0.0,0.0,
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
