,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
player,Nícolas Andrade,Emil Audero,Gianluigi Buffon,Andrea Consigli,Alex Cordaz,Angelo da Costa Júnior,Alessio Cragno,Gianluigi Donnarumma,Bartłomiej Drągowski,Pierluigi Gollini,Samir Handanović,Pau López,Federico Marchetti,Alex Meret,Vanja Milinković-Savić,Antonio Mirante,Lorenzo Montipò,Juan Musso,David Ospina,Alberto Paleari,Gianluca Pegolo,Mattia Perin,Ivan Provedel,Rafael,Federico Ravaglia,Pepe Reina,Luigi Sepe,Marco Silvestri,Salvatore Sirigu,Łukasz Skorupski,Marco Sportiello,Thomas Strakosha,Wojciech Szczęsny,Ciprian Tătărușanu,Jeroen Zoet
nationality,br BRA,it ITA,it ITA,it ITA,it ITA,br BRA,it ITA,it ITA,pl POL,it ITA,si SVN,es ESP,it ITA,it ITA,rs SRB,it ITA,it ITA,ar ARG,co COL,it ITA,it ITA,it ITA,it ITA,br BRA,it ITA,es ESP,it ITA,it ITA,it ITA,pl POL,it ITA,al ALB,pl POL,ro ROU,nl NED
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Udinese,Sampdoria,Juventus,Sassuolo,Crotone,Bologna,Cagliari,Milan,Fiorentina,Atalanta,Inter,Roma,Genoa,Napoli,Torino,Roma,Benevento,Udinese,Napoli,Genoa,Sassuolo,Genoa,Spezia,Spezia,Bologna,Lazio,Parma,Hellas Verona,Torino,Bologna,Atalanta,Lazio,Juventus,Milan,Spezia
age,32-307,24-026,43-016,34-017,38-043,37-093,26-230,21-354,23-178,25-332,36-214,26-062,38-006,23-328,23-359,37-220,24-359,26-283,32-166,28-168,39-325,28-095,26-333,38-347,21-094,38-166,29-281,29-348,34-032,29-284,28-279,25-331,30-301,35-004,30-038
birth_year,1988,1997,1978,1987,1983,1983,1994,1999,1997,1995,1984,1994,1983,1997,1997,1983,1996,1994,1988,1992,1981,1992,1994,1982,1999,1982,1991,1991,1987,1991,1992,1995,1990,1986,1991
minutes_90s,2.0,21.0,4.0,20.0,21.0,6.0,21.0,20.0,21.0,13.7,21.0,10.2,1.7,8.0,2.0,10.8,22.0,19.0,12.0,1.3,1.0,18.0,18.0,1.3,1.0,15.0,21.0,21.0,19.0,15.0,7.3,6.0,16.0,1.0,1.7
goals_against_gk,5,32,2,32,50,9,39,20,33,14,23,16,6,10,4,16,42,23,11,3,0,22,31,3,5,15,41,23,37,22,15,12,16,3,4
pens_allowed,0,6,1,2,3,1,4,2,4,1,3,1,0,0,1,2,3,3,3,0,0,4,5,0,0,2,1,2,4,2,0,1,1,1,1
free_kick_goals_against_gk,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
